time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.395000,-0.1081,-0.0562,0.1034,0.160
2.400000,-0.1175,-0.0598,0.1060,0.169
2.409000,-0.0804,-0.0544,0.0682,0.119
2.410000,-0.1071,-0.0565,0.1227,0.172
2.415000,-0.1153,0.0046,0.0826,0.142
2.425000,-0.1657,-0.0468,0.1356,0.219
2.426000,-0.0665,-0.0396,0.1436,0.163
2.430000,-0.1585,0.0079,-0.0693,0.173
2.442000,-0.1958,-0.0045,0.1458,0.244
2.443000,-0.2932,0.1687,0.0500,0.342
2.445000,-0.4202,0.0371,-0.0113,0.422
2.450000,-0.2969,0.2169,0.2554,0.448
2.460000,-0.3475,0.3758,0.3323,0.610
2.461000,-0.3737,0.1734,0.4793,0.632
2.465000,0.1232,-0.2501,0.0394,0.282
2.476000,0.4968,-0.5437,-0.3128,0.800
2.478000,0.4589,-0.5814,-0.3014,0.800
2.480000,0.1395,-0.4397,-0.1912,0.499
2.493000,-0.0643,-0.1601,0.0443,0.178
2.494000,-0.0815,-0.0428,0.1814,0.203
2.495000,-0.0462,-0.1127,0.0260,0.125
2.501000,0.0033,-0.1138,-0.0377,0.120
2.512000,-0.0372,-0.1235,0.0610,0.143
2.513000,-0.1009,-0.0430,0.1156,0.159
2.516000,-0.0907,-0.1069,0.0047,0.140
2.531000,-0.0319,0.0295,0.0216,0.048
2.533000,-0.1032,0.1165,0.1335,0.205
2.534000,-0.1736,-0.1264,0.1728,0.276
2.552000,-0.0897,-0.1104,-0.0637,0.156
2.553000,-0.0892,0.0233,0.0770,0.120
2.553000,-0.1301,0.0731,0.1295,0.198
2.553000,-0.1617,0.0103,0.0761,0.179
2.555000,-0.0564,-0.1011,-0.0606,0.131
2.560000,-0.0815,0.2966,-0.9804,1.028
2.565000,-0.2577,0.6400,-2.3507,2.450
2.570000,0.2344,0.1254,-0.7284,0.775
2.575000,0.8510,-0.0290,1.1586,1.438
2.580000,1.0503,0.1661,0.9584,1.431
2.586000,0.8136,-0.0252,0.6233,1.025
2.592000,0.5164,-0.0143,0.6211,0.808
2.596000,0.0596,0.1679,0.6657,0.689
